10001,21679,63272
10001,47812,63272
10001,177400,63272
10001,179868,63272
10001,479762,63272
10001,485037,63272
10001,490890,63272
10001,496303,63272
10001,522840,63272
10001,779059,63272
10001,243779,63272
10001,299519,63272
10001,316663,63272
10001,407438,63272
10001,410227,63272
10001,433668,63272
20001,61937,10064
20001,85711,10064
20001,136822,10064
20001,140941,10064
20001,536777,10064
20001,616988,10064
20001,742425,10064
20001,757787,10064
20001,783096,10064
20001,283018,10064
20001,298379,10064
20001,330891,10064
20001,349760,10064
20001,354475,10064
20001,501740,10064
20001,188799,10064
20001,212605,10064
20001,229659,10064
20001,252260,10064
20001,261760,10064
20001,267285,10064
20001,35585,96450
20001,217223,96450
20001,255003,96450
20001,270116,96450
20001,604413,96450
20001,274404,96450
20001,292048,96450
20001,337763,96450
20001,398300,96450
20001,501682,96450
20001,523545,96450
20001,48827,99512
20001,61937,99512
20001,173789,99512
20001,188799,99512
20001,675408,99512
20001,681625,99512
20001,791414,99512
20001,562760,99512
20001,579996,99512
20001,610093,99512
20001,625302,99512
20001,632781,99512
20001,647399,99512
20001,357665,99512
20001,449918,99512
20001,495310,99512
20001,504828,99512
20001,515991,99512
20001,229178,99512
20001,236195,99512
20001,242739,99512
20001,289448,99512
20001,322593,99512
20001,330717,99512
20001,40404,121457
20001,62289,121457
20001,244711,121457
20001,267285,121457
20001,679179,121457
20001,703453,121457
20001,735808,121457
20001,43370,143219
20001,64878,143219
20001,66414,143219
20001,740036,143219
20001,752624,143219
20001,825027,143219
20001,826902,143219
20001,829793,143219
20001,555091,143219
20001,557059,143219
20001,663593,143219
20001,696710,143219
20001,441843,143219
20001,453001,143219
20001,472728,143219
20001,495310,143219
20001,507818,143219
20001,225375,143219
20001,267285,143219
20001,279472,143219
20001,330890,143219
20001,196018,143219
20001,203748,143219
20001,209887,143219
20001,225339,143219
20001,32277,172416
20001,47647,172416
20001,48825,172416
20001,67074,172416
20001,779671,172416
20001,782495,172416
20001,793782,172416
20001,794247,172416
20001,829646,172416
20001,687832,172416
20001,722422,172416
20001,748432,172416
20001,754303,172416
20001,756879,172416
20001,778889,172416
20001,525171,172416
20001,566838,172416
20001,609002,172416
20001,626439,172416
20001,652132,172416
20001,670739,172416
20001,461339,172416
20001,463249,172416
20001,473285,172416
20001,500447,172416
20001,515275,172416
20001,523827,172416
20001,341645,172416
20001,357322,172416
20001,363848,172416
20001,374165,172416
20001,376636,172416
20001,387577,172416
20001,233820,172416
20001,238005,172416
20001,279189,172416
20001,279203,172416
20001,288179,172416
20001,322584,172416
20001,161172,172416
20001,165510,172416
20001,213020,172416
20001,214052,172416
20001,221196,172416
20001,227121,172416
20001,106855,172416
20001,129332,172416
20001,140845,172416
20001,142237,172416
20001,160449,172416
20001,161168,172416
20001,46159,178731
20001,46160,178731
20001,136866,178731
20001,188799,178731
20001,192952,178731
20001,814732,178731
20001,772170,178731
20001,784671,178731
20001,784672,178731
20001,801378,178731
20001,802466,178731
20001,682907,178731
20001,697349,178731
20001,731191,178731
20001,732847,178731
20001,735808,178731
20001,761442,178731
20001,660442,178731
20001,663365,178731
20001,667517,178731
20001,669764,178731
20001,678720,178731
20001,615602,178731
20001,637878,178731
20001,646168,178731
20001,648622,178731
20001,654042,178731
20001,461419,178731
20001,495942,178731
20001,545185,178731
20001,545186,178731
20001,551361,178731
20001,354475,178731
20001,408947,178731
20001,425727,178731
20001,439519,178731
20001,457273,178731
20001,204739,178731
20001,206679,178731
20001,219722,178731
20001,254534,178731
20001,287354,178731
20001,287553,178731
